City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
282,kysyl-syr,99.0,RU,1595894678,58.0,63.9,122.76,57.95600000000003,2.99
283,redcar,20.0,GB,1595894797,81.0,54.62,-1.06,55.99400000000007,3.13
284,bouna,95.0,CI,1595894798,94.0,9.27,-3.0,71.43800000000005,2.15
285,broken hill,0.0,AU,1595894664,75.0,-31.95,141.43,42.8,6.7
286,rio gallegos,40.0,AR,1595894798,74.0,-51.62,-69.22,33.8,6.7
287,boysun,0.0,UZ,1595894798,30.0,38.21,67.2,69.96200000000006,0.98
288,nalut,0.0,LY,1595894798,36.0,30.33,10.85,77.09000000000002,6.42
289,urumqi,40.0,CN,1595894287,88.0,43.8,87.6,64.4,4.0
290,prince rupert,1.0,CA,1595894798,82.0,54.32,-130.32,59.0,3.1
291,baruun-urt,1.0,MN,1595894686,76.0,46.68,113.28,63.68000000000004,4.83
292,bambous virieux,40.0,MU,1595894557,88.0,-20.34,57.76,66.2,1.0
293,nago,40.0,JP,1595894798,79.0,26.59,127.98,86.0,5.1
294,belaya gora,81.0,RU,1595894691,51.0,68.53,146.42,54.788000000000046,3.92
295,cetraro,0.0,IT,1595894798,68.0,39.52,15.94,75.99199999999999,0.76
296,lalganj,75.0,IN,1595894799,89.0,25.87,85.18,84.2,1.5
297,challapata,0.0,BO,1595894799,53.0,-18.9,-66.77,37.4,0.71
298,san cristobal,40.0,VE,1595894652,66.0,7.77,-72.22,84.2,4.1
299,fergus falls,1.0,US,1595894799,54.0,46.28,-96.08,80.00600000000003,4.6
300,bukachacha,91.0,RU,1595894799,78.0,52.98,116.92,69.94400000000007,2.13
301,gazli,0.0,UZ,1595894800,25.0,40.13,63.45,78.47600000000008,5.6
302,banamba,64.0,ML,1595894800,81.0,13.55,-7.45,77.95400000000005,3.3
303,bandarbeyla,0.0,SO,1595894654,70.0,9.49,50.81,79.73600000000008,9.65
304,maniitsoq,100.0,GL,1595894660,95.0,65.42,-52.9,45.44600000000005,6.9
305,bogdanovich,5.0,RU,1595894800,95.0,56.78,62.05,51.08000000000004,3.16
306,meulaboh,100.0,ID,1595894800,96.0,4.14,96.13,74.04800000000003,1.45
307,colares,11.0,PT,1595894679,94.0,38.8,-9.45,69.00800000000001,7.34
308,taksimo,70.0,RU,1595894800,80.0,56.34,114.88,68.46800000000009,1.62
309,vesoul,0.0,FR,1595894618,72.0,47.58,5.83,68.0,1.0
310,geraldton,90.0,AU,1595894494,100.0,-28.77,114.6,59.0,4.6
311,chapais,90.0,CA,1595894561,88.0,49.78,-74.85,68.0,4.6
312,grafton,1.0,US,1595894800,51.0,42.21,-71.69,87.00800000000001,4.6
313,buraydah,20.0,SA,1595894668,38.0,26.33,43.98,93.2,1.5
314,amapa,65.0,BR,1595894801,84.0,1.0,-52.0,73.83200000000002,1.08
315,tommot,0.0,RU,1595894675,69.0,58.96,126.29,77.48600000000008,1.75
316,vostok,0.0,RU,1595894678,66.0,46.49,135.88,75.61400000000003,1.13
317,proletarskiy,43.0,RU,1595894801,55.0,50.79,35.77,64.4,3.0
318,alta floresta,0.0,BR,1595894801,54.0,-9.88,-56.09,78.8,0.5
319,bilibino,94.0,RU,1595894667,49.0,68.05,166.44,54.5,2.6
320,muravlenko,92.0,RU,1595894801,74.0,63.79,74.52,49.49600000000005,7.1
321,sugal,96.0,PH,1595894801,67.0,5.66,125.46,82.86800000000008,1.42
322,codrington,26.0,AU,1595894658,84.0,-38.27,141.97,50.504000000000055,1.2
323,salinopolis,0.0,BR,1595894801,85.0,-0.61,-47.36,79.30400000000006,5.81
324,omsukchan,39.0,RU,1595894675,43.0,62.53,155.8,75.36200000000005,1.7
325,tanggulangin,62.0,ID,1595894801,69.0,-7.5,112.7,76.74800000000002,0.91
326,misratah,0.0,LY,1595894801,72.0,32.38,15.09,76.62200000000004,1.46
327,seoul,90.0,KR,1595894411,78.0,37.57,126.98,77.0,1.53
